bidder,wild tract bids,strict neighbor bids,existing bg bids,average neighbors per bid,num bids,average final round number,wild tract bids winner,strict neighbor bids winner,existing bg bids winner,average neighbors per bid winner,num wins,average final round number winner,won blocks in wild tract bg,won blocks in strict neighbor bg,won blocks in existing bg,total blocks won
Rural American Broadband Consortium,198,0,0,0,198,11.292929292929292,50,0,0,0,50,16.36,898,0,0,898
Rural Electric Cooperative Consortium,5435,0,0,0,5435,14.644158233670654,3048,0,0,0,3048,15.242125984251969,81003,0,0,81003
Segnem Egere Consortium,486,0,0,0,486,11.51440329218107,161,0,0,0,161,13.4472049689441,6273,0,0,6273
Simple Networks Systems LLC,6197,0,0,0,6197,10.27723091818622,0,0,0,0,0,0.0,0,0,0,0
Space Exploration Technologies Corp.,59434,0,0,0,59434,13.854140727529696,19234,0,0,0,19234,13.310439846105854,113905,0,0,113905
Standing Rock Telecommunications,2,0,0,0,2,10.0,0,0,0,0,0,0.0,0,0,0,0
"Starry, Inc.",5028,0,0,0,5028,14.842283214001592,1414,0,0,0,1414,14.662659123055162,18633,0,0,18633
Tennessee Cooperative Group Consortium,313,0,0,0,313,15.830670926517572,83,0,0,0,83,14.903614457831326,957,0,0,957
"Uintah Basin Electronic Telecommunications, L.L.C.",6,0,0,0,6,7.833333333333333,0,0,0,0,0,0.0,0,0,0,0
United States Cellular Corporation,78,0,0,0,78,7.871794871794871,0,0,0,0,0,0.0,0,0,0,0
"VTel Wireless, Inc.",21,0,0,0,21,8.761904761904763,0,0,0,0,0,0.0,0,0,0,0
"Velocity Communications, Inc.",5,0,0,0,5,15.0,0,0,0,0,0,0.0,0,0,0,0
"Viasat, Inc.",61274,0,0,0,61274,10.390622449978784,0,0,0,0,0,0.0,0,0,0,0
"WC Fiber, LLC",38,0,0,0,38,16.736842105263158,20,0,0,0,20,15.4,123,0,0,123
Wikstrom Telephone Company,18,0,0,0,18,17.0,11,0,0,0,11,17.0,93,0,0,93
Wildstar,2122,0,0,0,2122,12.802073515551367,4,0,0,0,4,14.0,8,0,0,8
Wisper-CABO 904 Consortium,11627,0,0,0,11627,9.903500473036896,237,0,0,0,237,14.417721518987342,800,0,0,800
